eps,min_samples,n_clusters,noise_points,noise_pct,silhouette
5e-05,30,82,5064,10.140980454982378,-0.5265807300757428
5e-05,50,74,14195,28.426385773790454,-0.07720103219341823
5e-05,100,44,33302,66.68936238385132,0.4696701992309723
0.0001,30,7,465,0.931191925664851,0.04325142657686785
0.0001,50,9,1054,2.110701698173662,-0.08423808792322722
0.0001,100,10,4002,8.014258250560717,-0.3668341756588679
0.0003,30,2,6,0.012015379685998077,0.4968447386453477
0.0003,50,2,6,0.012015379685998077,0.4968447386453477
0.0003,100,3,8,0.016020506247997435,0.2527799111759832
0.0005,30,1,0,0.0,
0.0005,50,1,0,0.0,
0.0005,100,1,0,0.0,
0.001,30,1,0,0.0,
0.001,50,1,0,0.0,
0.001,100,1,0,0.0,
